0
head
heart
development
closely
intertwined
embryonic
vertebrates
share
molecular
regulatory
mechanism
well
progenitor
cell
populations
made
multitude
cells
include
mesodermal
form
musculature
neural
crest
connective
tissue
also
important
cartilages
bones
neck
proper
septation
identity
constitute
tissues
specified
early
embryogenesis
via
specific
set
genes
specifiers
follow
trajectory
become
muscle
etc
one
specifier
gastrulationbrainhomeobox
gbx
essential
migration
movement
survival
interact
structures
directly
effected
change
expression
alter
communication
leading
changes
mesoderm
derived
eg
muscles
project
aims
understand
guides
influences
cartilage
bone
cranial
nerve
traditionally
fields
comparative
developmental
evolutionary
biology
unsuccessful
recruiting
students
scientists
diverse
backrounds
promote
collaborations
researchers
nontraditional
backgrounds
areas
historically
black
universities
howard
university
district
columbia
award
funded
nsf
excellence
research
program
technical
paragraph
cnccs
involved
ganglia
nerves
cranium
pharyngeal
arch
artery
transcription
factor
family
member
regulates
processes
including
anteroposterior
patterning
within
anterior
hindbrain
since
many
different
analyze
target
direct
control
regulate
homozygous
gbxneo
embryos
furthermore
analyses
impact
morphogenesis
system
craniofacial
cardiovascular
latter
part
significance
influence
differentiation
surrounding
vice
versa
haert
interaction
particular
interest
derives
common
field
called
cardiopharyngeal
case
somehow
gene
network
underlying
altering
indirectly
lead
insights
mechanisms
regulating
reflects
nsfs
statutory
mission
deemed
worthy
support
evaluation
using
foundations
intellectual
merit
broader
impacts
review
criteria
national
academy
engineering
identified
solving
complex
social
issues
grand
challenge
st
century
serve
preparing
engineers
work
interdisciplinary
teams
address
challenges
notre
dame
center
civic
innovation
led
prior
indiana
known
bowman
creek
educational
ecosystem
faculty
community
colleges
high
school
worked
together
groups
local
businesses
city
government
problems
storm
water
management
reuse
abandoned
properties
developed
stem
skills
critical
thinking
collaboration
workshop
explore
replicate
successes
creed
deindustrialized
cities
exposing
undergraduate
socially
relevant
problem
potential
inform
career
choices
preparation
addition
successful
careers
undergraduates
must
learn
professionals
across
sectors
nongovernmental
organizations
agencies
industry
proposed
lay
groundwork
strategy
accomplishing
goals
specifically
communities
youngstown
ohio
erie
pennsylvania
participants
representatives
academia
partners
discuss
evolution
generalize
communityengaged
model
build
practice
identify
barriers
replication
determine
funding
models
organizers
plan
disseminate
results
reports
meeting
metrolab
organization
devoted
partnerships
conference
presentation
gathering
american
society
supported
improving
education
human
resources
iuse
ehr
supports
projects
improve
effectiveness
institutional
transformation
track
efforts
transform
institutions
higher
disciplinary
provides
three
years
help
defray
expenses
semiannual
series
brazos
analysis
seminar
000
first
held
march
00
texas
subsequent
meetings
rotate
among
houston
christian
tyler
baylor
bring
analysts
academic
southcentral
region
united
states
regular
basis
communicate
emphasis
providing
opportunity
young
graduate
meet
collaborate
year
format
ample
postdocs
junior
investigators
present
start
new
latest
developments
modern
advance
